ticker,INTU
company_name,INTUIT INC.
country_of_incorporation,United States
industry_us,Services-Prepackaged Software
industry_global,Services-Prepackaged Software
revenue_ltm,18831.0
revenue_prior_10k,18831.0
years_since_last_10k,1.0704996577686516
ebit_ltm,4923.0
ebit_prior_10k,4923.0
interest_expense_ltm,247.0
interest_expense_prior_10k,247.0
book_value_equity_ltm,20629.0
book_value_equity_prior_10k,19710.0
book_value_debt_ltm,6162.0
book_value_debt_prior_10k,5973.0
cash_ltm,4681.0
cash_prior_10k,2884.0
cross_holdings_ltm,0.0
cross_holdings_prior_10k,0.0
minority_interests,0.0
shares_outstanding,279.129
current_price,650.0
effective_tax_rate,0.19962763756723212
marginal_tax_rate,0.25
capitalize_rd,Yes
has_operating_leases,No
has_employee_options,No
revenue_growth_next_year,0.1395336514824015
revenue_growth_years_2_to_5,0.1395336514824015
target_ebit_margin,0.0
year_of_margin_convergence,5
sales_to_capital_years_1_5,2.0
sales_to_capital_years_6_10,2.0
ebit_margin_ltm,0.2614306197227975
ebit_margin_avg_3y,0.2343153116201279
ebit_margin_avg_5y,0.23289956629492248
ebit_margin_avg_10y,0.2506218367945981
riskfree_rate,0.045
initial_cost_of_capital,0.09
n_options_outstanding,0.0
avg_strike_price,0.0
avg_option_maturity,0.0
stdev_stock_price,0.0
nol_carryforward,0.0
conservative_growth_delta,-0.02
optimistic_growth_delta,0.02
conservative_margin_delta,-0.02
optimistic_margin_delta,0.02
hist_interest_pct_of_ebit,0.047780064613426335
hist_da_pct_of_revenue,0.0
hist_capex_pct_of_revenue,0.009728799122949766
hist_nwc_pct_of_revenue_growth,0.0
hist_net_borrowing_pct_of_revenue,-0.0002646155827681889
hist_shares_growth_rate,-0.0033250818152479322
hist_dividend_growth_rate,0.1521476602058922
dividend_per_share_ltm,4.16
hist_multiple_ev_fcff_y1,0.0
hist_multiple_ev_fcff_y2,0.0
hist_multiple_ev_fcff_y3,0.0
hist_multiple_p_ocf_y1,0.0
hist_multiple_p_ocf_y2,0.0
hist_multiple_p_ocf_y3,0.0
hist_multiple_pe_y1,0.0
hist_multiple_pe_y2,0.0
hist_multiple_pe_y3,0.0
hist_multiple_p_fcfe_y1,0.0
hist_multiple_p_fcfe_y2,0.0
hist_multiple_p_fcfe_y3,0.0
hist_multiple_ev_ebitda_y1,0.0
hist_multiple_ev_ebitda_y2,0.0
hist_multiple_ev_ebitda_y3,0.0
override_ev_fcff,No
override_p_ocf,No
override_pe,No
override_p_fcfe,No
override_ev_ebitda,No
multiple_ev_fcff,0.0
multiple_p_ocf,0.0
multiple_pe,0.0
multiple_p_fcfe,0.0
multiple_ev_ebitda,0.0
lease_expense_current_year,0.0
lease_commitment_y1,0.0
lease_commitment_y2,0.0
lease_commitment_y3,0.0
lease_commitment_y4,0.0
lease_commitment_y5,0.0
lease_commitment_y6_plus,0.0
rd_amortization_years,3
rd_expense_current_year,2928.0
rd_expense_year_minus_1,2754.0
rd_expense_year_minus_2,2539.0
rd_expense_year_minus_3,2347.0
rd_expense_year_minus_4,1678.0
rd_expense_year_minus_5,1392.0
rd_expense_year_minus_6,1233.0
rd_expense_year_minus_7,1186.0
rd_expense_year_minus_8,998.0
rd_expense_year_minus_9,881.0
company_type,Generico
margin_of_safety,0.35
include_dcf,Yes
include_ev_ebitda,Yes
include_ev_fcff,Yes
include_pe,Yes
include_p_fcfe,Yes
include_p_ocf,Yes
company_description,
