industry,num_firms,revenue_growth_5y,pretax_operating_margin,aftertax_roc,effective_tax_rate,unlevered_beta,levered_beta,cost_of_equity,stdev_stock_price,pretax_cost_of_debt,market_debt_to_capital,cost_of_capital,sales_to_capital,ev_to_sales,ev_to_ebitda,ev_to_ebit,price_to_book,trailing_pe,noncash_wc_pct_revenue
Advertising,419,0.07674594488188972,0.08545219135145969,0.1793365767118328,0.2822286846399317,1.086116136197718,1.272831803339158,0.1111604305279946,0.4781971571430378,0.060013,0.288534317211795,0.09200962059183242,2.59090949067257,1.522018704690608,11.07983364143014,16.45856942463147,2.478629080794582,41.3764398297482,-0.007390632597755556
Aerospace/Defense,319,0.1003011386138613,0.09178508343052239,0.1546266528982992,0.1751405846269328,1.166684299427081,1.230944636330449,0.1088021830254043,0.4653536316295678,0.060013,0.1150476572634508,0.1014374669409912,2.464919908721302,3.385246124413623,22.39882312783213,33.08486316707189,6.7223105530477,189.8800924782406,0.3930613319380565
Air Transport,150,0.2065428346456692,0.08209446269459414,0.09013467295800828,0.2145641497321069,0.6840621552018372,0.990625140921233,0.09527219543386542,0.3363451647411857,0.057772,0.4409828120665577,0.07227187614534744,1.314039929397383,1.39780767934131,9.070637277664346,16.92162740052879,2.482139376008782,26.88178846969008,-0.0352949395584087
Apparel,1207,0.09614445595854917,0.1259492517915098,0.1606658149624852,0.2763686998977823,0.7052666591336804,0.7624174150098879,0.08242410046505669,0.4091273514267088,0.057772,0.1575730805753863,0.07623008279493278,1.520636578025724,2.310920519812083,14.04802801054984,17.70304330825734,3.286923684168487,59.3101092936845,0.2233567265794157
Auto & Truck,165,0.1418665048543689,0.04312659717257243,0.04329071184798652,0.2390673556586037,1.145382385474323,1.405957835982734,0.1186554261658279,0.4654404513744416,0.060013,0.323459037203528,0.09476224319438756,1.190480404319043,1.503898859337182,17.28772934908585,33.70303535892507,2.110181568787867,64.09523391345726,-0.02520913600754166
Auto Parts,797,0.1160243396226415,0.054480012734338,0.129164411679616,0.2446634577663042,1.35347187966227,1.449821287328946,0.1211249384766196,0.3854979087963625,0.057772,0.2175268904635065,0.1041557321241016,1.978693584514997,0.9601357791579264,9.234581285045799,16.7734046072978,1.709664937251359,84.42572934865285,0.113707633526337
Bank (Money Center),604,0.1920111229946524,0.003764173341521477,NA,0.1961144608007977,0.3627650509714354,0.6974939226520271,0.07876890784530913,0.2456745394659963,0.054406,0.6791998663586672,0.05284676268305152,0.1356689082812272,8.915344526636781,NA,NA,1.137116206218977,23.38045406728875,NA
Banks (Regional),825,0.08385352769679301,-1.84356592717434e-05,NA,0.1888032243731155,0.300363382663931,0.5134872216822973,0.06840933058071334,0.2333197668167571,0.054406,0.6691759667879212,0.04980213479454618,0.1560152998323367,6.853213297701307,NA,NA,0.8521249253102618,27.96282854641907,NA
Beverage (Alcoholic),217,0.08623367231638417,0.2246869431320431,0.1541797328393322,0.2613676519002731,0.7250443439894131,0.7926708486212135,0.08412736877737433,0.3400924182097906,0.057772,0.1686994095482963,0.07720864747563046,0.8429143566413393,3.317562249652816,12.21587017546518,14.66554108192349,2.792196541240661,46.91779425396877,0.1089390607252331
Beverage (Soft),94,0.1146848484848485,0.1762373004333796,0.2536750868954302,0.2150647923164333,0.5420226574467705,0.5928484661583204,0.07287736864471345,0.3692959472824889,0.057772,0.1576833132689677,0.0681843781577377,1.684058870872386,3.479428463941298,15.96984623355032,19.56846985783336,5.764797681476511,25.61747416655314,-0.04259179605187283
Broadcasting,127,0.04378435185185185,0.099745610173364,0.09505074643010343,0.2739218863111449,0.6557707626756251,0.832172827138835,0.0863513301679164,0.4048451394444616,0.057772,0.3621320222057915,0.07069415870681217,1.124682571928328,1.28396634799039,8.470985533530179,12.46141938306218,1.146614660496049,24.0900467177271,0.1149106002691143
Brokerage & Investment Banking,623,0.2056042203742203,0.00936980891288772,NA,0.2065715244003343,0.4895737616143335,0.9846136258120903,0.0949337471332207,0.4096425651180902,0.057772,0.6417521201815757,0.06167911262613984,0.2205893241741448,6.425086045280601,NA,NA,1.826843688865809,53.98421953296227,-1.351920263628781
Building Materials,469,0.06150354395604395,0.104013279470123,0.1418910136383785,0.24573048899787,0.9027205933766406,1.004830306752776,0.09607194627018131,0.3463065425796759,0.057772,0.185531557752461,0.08624680673034867,1.736044949585409,1.885103661587265,12.41049028823695,17.77273086059952,2.792930450487378,50.22868282017253,0.1764431626868936
Business & Consumer Services,994,0.08317985294117648,0.1014531411173584,0.2209232108722554,0.240598575019885,0.9083303812347316,0.9921459759086856,0.09535781844365901,0.39436765478505,0.057772,0.1708602159893155,0.08643164082203345,2.798120026864799,2.038494152735544,14.08667338014467,19.47730673518671,4.312507113881225,33.30317046429641,0.1086695822781252
Cable TV,42,0.04344324324324324,0.1733696641675961,0.1114996469460938,0.1902468001305999,0.5908296327587623,1.096995264367076,0.1012608333838664,0.3902685527392315,0.057772,0.5539018621904962,0.06905388292441811,0.7289545858158519,2.161055912071605,6.577342258822858,12.47474740791351,1.382253894334376,69.65703724181841,0.02563457440573476
Chemical (Basic),909,0.1022355144032922,0.03683526617345578,0.03150724849543016,0.1952137018339548,1.002147261333976,1.256025755860968,0.1102142500549725,0.3769658576831276,0.057772,0.3354586303709491,0.08770530925033596,1.026596001628205,1.430356040944339,13.70731320537325,36.46457577473927,1.447331671682962,114.4192437230266,0.1198485933607353
Chemical (Diversified),63,0.08666413793103449,0.06829306808360508,0.06387008533010807,0.2619878560483466,0.9100571271749189,1.169202539534707,0.105326102975804,0.2976335182440655,0.054406,0.3443446292047727,0.08303911819198612,1.211716408598134,1.09533195940077,8.654862706456012,16.0032352044593,1.249065420355111,25.31045837315828,0.2094916906520285
Chemical (Specialty),952,0.104829791086351,0.1096589444553511,0.09511963803857178,0.2368584498762568,1.042806876150528,1.153626570549779,0.1044491759219526,0.3944561466212217,0.057772,0.1903826322183655,0.09277226044219615,1.086801036464634,2.369147221270728,13.10422120366732,21.13221706534345,2.305932026419518,71.55248185616203,0.188851790471505
