industry,num_firms,revenue_growth_5y,pretax_operating_margin,aftertax_roc,effective_tax_rate,unlevered_beta,levered_beta,cost_of_equity,stdev_stock_price,pretax_cost_of_debt,market_debt_to_capital,cost_of_capital,sales_to_capital,ev_to_sales,ev_to_ebitda,ev_to_ebit,price_to_book,trailing_pe,noncash_wc_pct_revenue
Advertising,52,0.1767452173913043,0.1006579872349902,0.2772269074749548,0.2807582010211933,1.008009890342126,1.210506967409714,0.09348861074647324,0.6291480405048702,0.052913,0.2867335758206064,0.07806123736168302,3.853284109074878,2.124894482334712,11.99864507503545,20.90871553387436,4.551214997456897,44.43335288410666,0.03833924739785394
Aerospace/Defense,79,0.1109988095238095,0.08654588995592664,0.160123607492574,0.1711225373304806,0.8693772823914925,0.945491480030761,0.08166892000937194,0.4645229995086378,0.052913,0.134668119667556,0.07601499077840683,2.743410439975415,3.570706581908985,21.58391276518138,34.78792620620136,7.880460504324958,92.80031534792768,0.4121022649063961
Air Transport,23,0.4778615384615385,0.05321179963425901,0.07929312533704834,0.2262844025651933,0.7579038179118688,1.185465100406711,0.09237174347813931,0.590043262853523,0.052913,0.4769069257453501,0.06724495139171459,1.799883651563514,1.025954922450268,7.57525768425806,19.31868974315794,2.841422848445872,18.32154666661634,0.004517379224045571
Apparel,35,0.08102043478260869,0.09110059660081257,0.157685156024459,0.2211357894801231,0.794563498700363,0.9358744642979875,0.08124000110769025,0.4626373673236945,0.052913,0.2383405613748074,0.07133569923061227,1.768667029517862,1.594209821413011,10.3048863218164,16.08652156882508,3.893952784961127,37.82798638911136,0.2437936543231524
Auto & Truck,33,0.08639999999999999,0.02318213303371271,0.02247412851375608,0.2193068050424434,1.30816520643589,1.456493304834781,0.1044596013956313,0.6183460542354303,0.052913,0.1645493552310309,0.0938009413632943,1.075295700221258,3.883020426885024,47.75584242880809,160.3162553193214,7.724731802119622,64.32031076304214,-0.02961210934566343
Auto Parts,35,0.1590947826086957,0.05673758663662253,0.08975948273328078,0.3164684174560379,1.128305105178362,1.339446365194841,0.09923930788768992,0.4987204042985499,0.052913,0.293106392650663,0.08178348625932404,2.389159701430121,0.822835978588616,6.428093985050202,12.3828690407349,1.865455398537074,28.07297694836023,0.1585492060088447
Bank (Money Center),15,0.09056428571428571,0,NA,0.1738047314193501,0.4438913800649,0.7610461819725333,0.07344265971597498,0.2273871767054001,0.047306,0.6214840556353255,0.04984916125095924,0.1906379954861498,8.30955725045144,NA,NA,1.622329637857376,14.95103617528728,NA
Banks (Regional),568,0.08046543624161075,4.906690582821559e-08,NA,0.2077764463042029,0.3744392448485997,0.3984765556409175,0.05727205438158492,0.2268255755296142,0.047306,0.3425477144640123,0.04980706468584031,0.328788112408653,4.276272252419073,NA,NA,1.138035408465394,33.60151765147859,NA
Beverage (Alcoholic),14,0.0342775,0.2276334418561985,0.1574476577657289,0.2473220609635172,0.6280466376925842,0.8124756277132766,0.07573641299601214,0.5596193724547387,0.052913,0.3023502785795125,0.06483618264591316,0.7883105803585208,2.453919895002763,8.60547949225314,10.75235523108562,1.914106644627441,28.29629932115329,0.1463996512322793
Beverage (Soft),27,0.085835,0.2052511464095513,0.2902563541349132,0.1957351452468393,0.5754648330410659,0.6414687070147179,0.06810950433285642,0.5788689759563741,0.052913,0.1707240273857684,0.06325671579570011,1.544178598437808,4.156113450493375,16.90424497023079,20.14057031238029,6.869060540041212,47.76375952172016,-0.06003272102620585
Broadcasting,24,0.08410105263157895,0.1233389317157333,0.145672947918031,0.2553680892864994,0.315292569835984,0.4707520484863454,0.06049554136249101,0.4662306993347863,0.052913,0.4619440863788541,0.05088211935972416,1.278664967502679,1.395140428325257,7.84701463710848,11.15839660891767,1.664721591780748,44.7592195956879,0.1045521295013434
Brokerage & Investment Banking,32,0.3551565217391305,-1.791589659785801e-05,NA,0.2045176333849742,0.6794030848916329,1.171457071047836,0.09174698536873349,0.366085597210624,0.050672,0.5755042617612304,0.06081766824925591,0.2748679414806701,5.782260395845316,NA,NA,2.808591856318562,86.54190898171709,NA
Building Materials,41,0.04138741935483869,0.1263682651670859,0.2016456871654533,0.2835685386764281,0.9605275604881124,1.111532173344242,0.08907433493115322,0.3528210091019042,0.050672,0.2063385229383632,0.07853655745549157,2.060797714865319,2.046061229341256,11.60704114199348,15.9746010471706,3.61632689588609,32.79846401044874,0.1843583667837102
Business & Consumer Services,155,0.05802691358024693,0.1227243245030342,0.2829769143571269,0.2245735835052961,0.8060249314889546,0.8879785335242745,0.07910384259518263,0.4110699163971621,0.050672,0.1646904647110766,0.0723350904186299,2.798510613050091,2.529732711893669,14.25716397829691,20.14557296198789,5.299415367043293,36.39662533586826,0.1451898518828459
Cable TV,9,0.2694285714285714,0.1848574581503954,0.1206212056562121,0.1896476840142051,0.3628769074636262,0.7407444081777597,0.07253720060472808,0.4404071378928042,0.050672,0.595042430850748,0.05198848097183417,0.7433975512121364,2.055485525649577,6.207766381550758,11.26746256632091,1.31319973500008,6.104795236951989,0.01897729603365754
Chemical (Basic),29,0.1388470588235294,0.02673718088170194,0.03724595306864154,0.3514831280518912,0.6367830669050106,1.01224715009899,0.08464622289441495,0.4580970692608343,0.052913,0.4983797053780761,0.06223833727993208,1.490160362392332,0.8452190200844562,8.56734060962358,28.97652591526095,1.117192215568364,24.4205095931578,0.1620583056461507
Chemical (Diversified),4,0.01438,0.03291326738773162,0.04054264450971982,#DIV/0!,0.4061432317900194,0.8507028562562596,0.07744134738902918,0.3903520023839609,0.050672,0.6378254896102782,0.05228720198169102,1.265179174579226,0.8416904259876704,8.385060138547514,24.68665175069393,1.083454790000415,#DIV/0!,0.1669365608117962
Chemical (Specialty),59,0.08035348837209305,0.1217199679517896,0.1094944391850362,0.2473852554201268,0.8244706586041288,0.9697828817775749,0.08275231652727985,0.4230516095475031,0.050672,0.2300760763965986,0.07245679943533023,1.105419408431602,2.647614549454516,13.35926103105675,21.30004179169416,2.44973973590539,196.7740894083461,0.237965133388361
Coal & Related Energy,16,0.1923857142857143,-0.0401718131419366,-0.04759627013362316,0.09671848013816925,1.182438199934653,1.070993191489764,0.08726629634044347,0.6431490912216578,0.052913,0.06666777815396692,0.0840941403647961,1.291228364614905,2.536915693474506,10.36899625026826,NA,2.247325104045218,17.00758893703042,0.1017622349812343
Computer Services,64,0.2709984210526316,0.07409334745931717,0.2634856323685177,0.2256371132436134,0.9617009989891427,1.087855903473369,0.08801837329491224,0.5342530314325552,0.052913,0.2006402717696322,0.07832070198141003,5.189890691696159,1.477094248399097,14.09504969477454,19.25198547899857,4.728265307993433,51.59929505052196,0.134002219012555
Computers/Peripherals,36,0.06710869565217391,0.22484874696685,0.4476035274383902,0.1535453934728211,1.324587039677791,1.350329208585168,0.09972468270289851,0.5457679517178851,0.052913,0.04420310378049363,0.09707073132665844,3.619788749768668,6.629803188728592,25.4244916442558,29.35888130009311,34.08206122543692,81.1319884247503,-0.04705741851421019
Construction Supplies,40,0.1370392857142857,0.1522858796620313,0.1670606286751148,0.2254751009080227,1.046829697375817,1.150356056851164,0.0908058801355619,0.3551332113586579,0.050672,0.1498185452487142,0.08289517926725504,1.446946369196375,3.231777696009379,16.81867012821988,21.14540198879197,5.455603344493196,42.74757028738539,0.2255852299695207
Diversified,20,0.08903,0.2272932665965972,0.1482135655711147,0.1755667455713286,0.8430962646682882,0.8809551761105191,0.07879060085452916,0.2841172358254972,0.047306,0.1345940155714698,0.07296118587169716,0.676059005857545,3.080144968544374,11.41546209484988,13.48647058887652,1.782954165773192,15.73100377690292,0.007736226390901585
Drugs (Biotechnology),496,0.2892677777777777,0.08973321008991049,0.03525374326558564,0.1575395745508596,1.079453865168337,1.135265032548857,0.09013282045167903,0.7567979803880647,0.060195,0.1153559369912528,0.08494335246520258,0.8199548262974856,7.918045526205239,15.77897160281244,68.97132135165363,8.216863751697744,64.27555677843166,0.1336148141725305
Drugs (Pharmaceutical),228,0.1844677500000001,0.2953969998081675,0.1694954828709013,0.1680091192364639,0.915135973481584,0.9828330980612211,0.08333435617353047,0.7664492440646036,0.060195,0.1269202637832653,0.07848751166460263,1.111658554763212,6.239336284469536,15.24799680842651,20.32316741208734,6.64396392026399,55.66767407461499,0.3208850097389138
Education,32,0.07738312500000001,0.1401317701349414,0.1594415390185148,0.3043662638754834,0.719599829329938,0.7809055888612572,0.07432838926321207,0.4723775113573218,0.052913,0.196003402054853,0.06753811810806143,1.627453545768209,1.990213812174477,9.26128390279208,14.48687797703727,2.603286661509442,26.96578471196609,0.1003109847441636
Electrical Equipment,112,0.1917454545454546,0.09534667101101517,0.1559560391311139,0.2517917634827783,1.189807031806981,1.251123854607469,0.09530012391549311,0.7271388016174681,0.060195,0.1071685968794686,0.08992520361989993,2.029528967054473,4.420754883373023,24.58630413346715,43.1933182285843,6.506731641045638,80.03961165936393,0.294372463939175
Electronics (Consumer & Office),8,-0.03486,-0.04488621563380616,-0.0834551474050309,#DIV/0!,0.9273766123201671,0.8659780184815811,0.07812261962427852,0.7018361349746528,0.060195,0.05485895274423452,0.07631357052138382,5.566546410452429,0.9098334859666329,30.69739733032995,NA,3.85203290618573,#DIV/0!,0.1115560396883658
Electronics (General),114,0.07268302631578946,0.1042317781378465,0.1791172540525823,0.2032217978828484,0.9374545595854545,0.9714771307987942,0.08282788003362622,0.5183878524748988,0.052913,0.09919458837333321,0.07854831500880348,2.383494290324026,3.206162776853793,19.99114248979785,29.75669159380908,4.968967691522418,48.44335194607289,0.2091771210122774
Engineering/Construction,48,0.1170110714285714,0.0648772140059397,0.2531760347582192,0.2394811740203084,1.137436783693752,1.209972261135115,0.09346476284662614,0.4592364631713382,0.052913,0.1228953077938518,0.08685545161468271,4.361448663715637,1.735043149783517,17.17943626850942,25.17122209401257,5.49046865935612,63.33204875099555,0.1937659510783999
Entertainment,92,0.1643078787878788,0.1060478521864998,0.1242059980108462,0.1260472514420455,0.7628468307830948,0.8251696372652437,0.07630256582202988,0.4870659020881054,0.052913,0.1372904099677242,0.07127529087570077,1.391405938857572,4.333824657929714,19.41126270013048,38.91956102277865,4.798101501048052,108.6305934645842,0.004905050516759029
Environmental & Waste Services,53,0.2170217391304348,0.146085563073154,0.3175479653838472,0.2091644504425832,0.8247690956344971,0.9454812982377585,0.08166846590140403,0.5491271709973529,0.052913,0.1765987123152963,0.07425419573500486,2.29985091030874,3.700675007301858,15.61307867351459,24.82665513831785,6.585458523984577,66.54956588056456,0.1003871840673084
Farming/Agriculture,35,0.1402195238095238,0.05445318703912747,0.07277942934792668,0.2034096333164764,0.8457836746022086,1.129173740945637,0.08986114884617541,0.507938158066483,0.052913,0.3414488697161519,0.07272847417372198,1.479434561224638,1.340150482336105,16.03769947490355,23.73567634647184,2.422866951920291,19.11598941305565,0.1727341216574699
Financial Svcs. (Non-bank & Insurance),176,0.1129794444444444,0.1848386743924957,NA,0.1930857037352512,0.327708386847594,0.9697132427444908,0.0827492106264043,0.4246919214774036,0.050672,0.7312766809789597,0.05002808150982289,0.07085584556984825,18.9059051763244,57.52355973366111,69.3963708178762,3.660922776908981,26.13838965454266,11.85998591816597
Food Processing,78,0.07158021739130435,0.106306981098628,0.1594970721492341,0.2280972526725751,0.4694237767707587,0.6074530378003583,0.06659240548589598,0.4346763943257051,0.050672,0.3042697004104576,0.05789381991348973,1.709198961102057,1.468315725485519,10.01197493847315,13.6052112905583,1.795893788847867,47.96812634413219,0.0667734918374279
Food Wholesalers,13,0.1327666666666667,0.02613488646740249,0.1783701930194303,0.2367610279554668,0.6477598141678518,0.866641638658665,0.07815221708417647,0.3397822415435992,0.050672,0.3195823246690734,0.06532155653709674,7.712909587317783,0.456852048513644,11.07525223204178,17.94448300297205,4.878554826122564,26.80289308359117,0.05623003040703928
Furn/Home Furnishings,27,0.009873809523809528,0.06585661858487982,0.1058742891265975,0.2907765738946773,0.6521303704400933,0.8231584740017082,0.07621286794047619,0.5150986273981181,0.052913,0.2974240911279325,0.06534852566141613,1.958544127171312,1.332799009656489,11.27381955011427,19.14514049519137,2.453188499334264,17.38352468395062,0.1573031684823794
Green & Renewable Energy,15,0.17102,0.198726032681626,0.03636741609417939,0,0.4722841676536161,0.8563295187054536,0.07769229653426324,0.6514340075377375,0.060195,0.5307578982023936,0.06041822528094039,0.1979948428912487,7.865692969599145,13.44371680821708,42.62556837327966,1.262866011273322,32.24959395302349,-1.142911474129766
Healthcare Products,204,0.1841067479674797,0.1533899702248692,0.169807786355746,0.1277402370672081,0.8569477958661521,0.9085611350704943,0.08002182662414405,0.6179058995412937,0.052913,0.1133585179543921,0.07544927539941833,1.476950489760035,4.762600760397512,19.77803657687093,29.98927545884349,4.435103809290801,43.06516270029824,0.2565259152559916
Healthcare Support Services,104,0.1312175,0.0299840587880442,0.3119296654846798,0.2299540044260435,0.7448750574739688,0.8719538873399333,0.07838914337536103,0.4724003230719404,0.052913,0.2615856411836159,0.06826462981764432,11.74662744336476,0.4577833136261751,11.16882502236794,15.02204955590035,2.795572156928382,83.7666088261665,-0.05787836802387319
Heathcare Information and Technology,115,0.1557353030303031,0.1470948558823554,0.1371678334811332,0.1509666497111161,1.016325032628335,1.108333899148144,0.08893169190200721,0.6378002122444473,0.052913,0.1360045003505987,0.08223388617482975,1.24569906969673,5.309188421358011,21.27212715811244,34.7621607960374,4.002238560460353,506.5468687021162,0.2352758590025914
Homebuilding,30,0.09872173913043479,0.1257495272304001,0.1490812879349228,0.2367166379830307,0.8532230798743929,0.9106178132748846,0.08011355447205985,0.327940466753169,0.050672,0.1758976469523667,0.07270658292621202,1.42151892733591,1.19162693867246,8.918125636141264,9.431920504743353,1.633094980041887,11.45349631568776,0.6164635102360477
Hospitals/Healthcare Facilities,31,0.1594458823529412,0.1335655802468282,0.2216397031877998,0.2132822043194953,0.5648588718287879,0.7996783314027625,0.07516565358056321,0.5645694737555678,0.052913,0.3746888451798786,0.06187135479202336,1.950308515636748,1.688745016782787,8.864021416745029,13.11546361352196,5.622736292515395,18.80423348939764,0.1048350761454378
Hotel/Gaming,63,0.2181709999999999,0.1938799348814458,0.145751190453226,0.1661516239464262,0.8756884427797555,1.080367568307419,0.0876843935465109,0.3965335196981276,0.050672,0.2844375319862503,0.07355342501803572,1.039899955851329,4.327076142389566,14.93267074437605,25.71068177159895,12.30347267197599,46.60333945899176,0.007662953896743492
Household Products,110,0.08087382978723406,0.1862488237477741,0.3441983751200186,0.2073149545763796,0.7410769287097494,0.8155158251324154,0.07587200580090572,0.5546378639806525,0.052913,0.153601292087209,0.07031359655279625,2.214429262740435,3.059468148726035,13.17352016412676,16.25491325421328,5.847090055850471,33.07179588651714,0.06006083788394438
Information Services,15,0.06770909090909091,0.1188602164339738,0.2217430042193927,0.2173934147722675,0.7563563575971642,0.9205673234850804,0.08055730262743459,0.3237524454802279,0.050672,0.2490792719816506,0.06995815698857832,2.5121429063367,2.212535389114448,11.49832200915996,17.7665165820875,3.794938947322144,24.91702750363627,0.1662125535654339
Insurance (General),21,0.1182776923076923,0.2131282564251055,0.4450609958826383,0.2231967199034194,0.5780724262046252,0.6719750422408106,0.06947008688394016,0.46070163153831,0.052913,0.2039966600957666,0.06339397763978913,2.409977566153034,4.324047602881805,15.75790485730277,20.09990608407696,3.451731948410647,33.96447508386147,0.2653809787043614
